N°°,VERSION,AÑO,RUC ENTIDAD,ENTIDAD_CONVOCANTE,MODALIDAD,TIPO PROCESO,PROCESO,NUM CONVOCA,FECHA_PUBLICACION,OBJETO,DESCRIPCION PROCESO,VALOR REFERENCIAL,MONEDA,NUM_ITEM,DESCRIPCION ITEM,VALOR REFERENCIAL ITEM,MON_CONT_ITEM,FECHA CONTRATO,FECHA REGISTRO CONTRATO,RUC_CODIGO_GANADOR,GANADOR,ES CONSORCIO,RUC DESTINO PAGO,NOMBRE DESTINO PAGO,RUC_MIEMBRO,NOMBRE MIEMBRO,CODIGO_CONTRATO,Nº CONTRATO,FECHA VIGENCIA INICIAL,FECHA VIGENCIA FINAL,URL_DESCARGA
1,SEACE 2,2010,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 4 - 2010 - EP,1,30/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE SOPORTE TECNICO Y ACTUALIZACION DE LAS LICENCIAS ORACLE,"30534,66",Dolares,1,CONTRATACION DEL SERVICIO DE SOPORTE TECNICO Y ACTUALIZACION DE LAS LICENCIAS ORACLE,"30534,66","30534,66",12/01/11,10/12/13,20182246078,SISTEMAS ORACLE DEL PERU S.A.,N,20182246078,SISTEMAS ORACLE DEL PERU S.A.,,,002436-01678266-00782455,001-GL-EP-2011,13/01/11,12/01/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\16782661004895343radEC060.pdf
2,SEACE 2,2010,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 7 - 2010 - -EP.,1,30/12/10,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS ADRYAN,6426,Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO Y SOPORTE DE LAS LICENCIAS ADRYAN,6426,6426,20/01/11,10/12/13,20258286236,COSAPISOFT S.A,N,20258286236,COSAPISOFT S.A,,,002436-01678495-00782486,013-GL-EP-2011,21/01/11,20/01/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\16784951004895343rad02023.pdf
3,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 1 - 2011 - EP,1,06/05/11,SERVICIOS,SERVICIO DE ASESORIA LEGAL EXTERNA PARA LOS MIEMBROS DEL DIRECTORIO,53100,Soles,1,SERVICIO DE ASESORIA LEGAL EXTERNA,53100,53100,12/05/11,10/12/13,20516364905,ANGULO PORTOCARRERO & ABOGADOS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA,N,20516364905,ANGULO PORTOCARRERO & ABOGADOS SOCIEDAD CIVIL DE RESPONSABILIDAD LIMITADA,,,002436-01723410-00782532,035-GL-EP-2011,13/05/11,09/02/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2013\2436\17234101016780144rad58448.pdf
4,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2011 - EP,1,25/08/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73","12508,24",27/09/11,26/10/11,20100075009,IBM DEL PERU S A C,N,20100075009,IBM DEL PERU S A C,,,002436-01782910-00539196,71-GL-EP-2011,01/10/11,30/09/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\2436\17829101073395020rad6DD6B.pdf
5,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2011 - EP,1,25/08/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73","12508,24",27/09/11,26/10/11,20100075009,IBM DEL PERU S A C,N,20100075009,IBM DEL PERU S A C,,,002436-01782910-00539196,71-GL-EP-2011,01/10/11,30/09/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\2436\17829101073395020rad6DD6B.pdf
6,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2011 - EP,1,25/08/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73","12508,24",27/09/11,26/10/11,20100075009,IBM DEL PERU S A C,N,20100075009,IBM DEL PERU S A C,,,002436-01782910-00539196,71-GL-EP-2011,01/10/11,30/09/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\2436\17829101073395020rad6DD6B.pdf
7,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2011 - EP,1,25/08/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73","12508,24",27/09/11,26/10/11,20100075009,IBM DEL PERU S A C,N,20100075009,IBM DEL PERU S A C,,,002436-01782910-00539196,71-GL-EP-2011,01/10/11,30/09/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\2436\17829101073395020rad6DD6B.pdf
8,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 2 - 2011 - EP,1,25/08/11,SERVICIOS,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73",Dolares,1,CONTRATACION DEL SERVICIO DE MANTENIMIENTO PREDICTIVO Y CORRECTIVO DEL SERVIDOR IBM PSERIES Y LA UNIDAD DE ALMACENAMIENTO DS4700,"12597,73","12508,24",27/09/11,26/10/11,20100075009,IBM DEL PERU S A C,N,20100075009,IBM DEL PERU S A C,,,002436-01782910-00539196,71-GL-EP-2011,01/10/11,30/09/12,http://zonasegura.seace.gob.pe/documentos//particion1/mon\docs\contratos\2011\2436\17829101073395020rad6DD6B.pdf
9,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,MENOR CUANTIA,AMC - 37 - 2011 - EP,1,15/11/11,BIENES,ADQUISICION DE LICENCIAS ANTIVIRUS,37760,Soles,1,ADQUISICION DE LICENCIAS DE SOFTWARE ANTIVIRUS,37760,37500,29/11/11,05/01/12,20475805101,INNOVARE E-BUSINESS S.A.C.,N,20100072751,INNOVARE E-BUSINESS S.A.C.,,,002436-01839753-00556597,100836,30/11/11,02/12/11,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\1839753659189761rad08BA7.pdf
10,SEACE 2,2011,20100072751,EMPRESA PERUANA DE SERVICIO EDITORIALES,PROCEDIMIENTO CLASICO,EXONERACIONES,EXO - 3 - 2011 - EP,1,23/11/11,SERVICIOS,CONTRATACION DEL SERVICIO DE PUBLICIDAD EN PAGINAS AMARILLAS Y BLANCAS 2012,"80275,4",Soles,1,CONTRATACION DEL SERVICIO DE PUBLICIDAD EN PAGINAS AMARILLAS Y BLANCAS 2012,"80275,4","80275,4",14/12/11,07/02/12,20501426041,YELL PERU S.A.C.,N,20100072751,,,,002436-01848222-00561638,091-GL-EP-2011,01/01/12,31/12/12,http://zonasegura.seace.gob.pe/documentos/mon\docs\contratos\2012\2436\184822225040220rad060B7.pdf
